"method","variable","statistic","value","iteration"
"PMMH","sigma^2","Variance",6.2064496986289e-05,14
"PMMH","mu","Variance",0.00694019624575389,14
"PMMH","phi","Variance",0.00811085956356804,14
"PMMH","X[T+1]","Variance",0.0539766318695118,14
"PMMH","sigma^2","Mean",0.0111973985208432,15
"PMMH","mu","Mean",-0.549513072573075,15
"PMMH","phi","Mean",0.86744786419447,15
"PMMH","X[T+1]","Mean",-0.523996940945255,15
"PMMH","sigma^2","Variance",5.27561872202094e-05,15
"PMMH","mu","Variance",0.00644577858599613,15
"PMMH","phi","Variance",0.00679882496709024,15
"PMMH","X[T+1]","Variance",0.0599158937119546,15
"PMMH","sigma^2","Mean",0.0175376572703095,16
"PMMH","mu","Mean",-0.525512096601205,16
"PMMH","phi","Mean",0.869773197626746,16
"PMMH","X[T+1]","Mean",-0.382834965548339,16
"PMMH","sigma^2","Variance",0.00016449690410275,16
"PMMH","mu","Variance",0.00885973052303908,16
"PMMH","phi","Variance",0.00701828308662768,16
"PMMH","X[T+1]","Variance",0.0840492817903462,16
"PMMH","sigma^2","Mean",0.0143215780970346,17
"PMMH","mu","Mean",-0.445198132767409,17
"PMMH","phi","Mean",0.853271444876442,17
"PMMH","X[T+1]","Mean",-0.52141161735153,17
"PMMH","sigma^2","Variance",9.39659327112243e-05,17
"PMMH","mu","Variance",0.00722975414528137,17
"PMMH","phi","Variance",0.006108304633941,17
"PMMH","X[T+1]","Variance",0.0771757546010672,17
"PMMH","sigma^2","Mean",0.0112594755653523,18
"PMMH","mu","Mean",-0.454463802959316,18
"PMMH","phi","Mean",0.852310489815922,18
"PMMH","X[T+1]","Mean",-0.46147700657887,18
"PMMH","sigma^2","Variance",4.68367444466825e-05,18
"PMMH","mu","Variance",0.00912099431323658,18
"PMMH","phi","Variance",0.00760182985148116,18
"PMMH","X[T+1]","Variance",0.055023211543736,18
"PMMH","sigma^2","Mean",0.0149140622123349,19
"PMMH","mu","Mean",-0.512106364301351,19
"PMMH","phi","Mean",0.83721407823886,19
"PMMH","X[T+1]","Mean",-0.575442162620073,19
"PMMH","sigma^2","Variance",0.000270871370646907,19
"PMMH","mu","Variance",0.00608745812685392,19
"PMMH","phi","Variance",0.00937058122970296,19
"PMMH","X[T+1]","Variance",0.0677725374761742,19
"PMMH","sigma^2","Mean",0.018540932710756,20
"PMMH","mu","Mean",-0.293956745136608,20
"PMMH","phi","Mean",0.884373751809928,20
"PMMH","X[T+1]","Mean",-0.169878469682031,20
"PMMH","sigma^2","Variance",0.000269056717459851,20
"PMMH","mu","Variance",0.00741082267469347,20
"PMMH","phi","Variance",0.0051856612925218,20
"PMMH","X[T+1]","Variance",0.0920323222445677,20
"VB","sigma^2","Mean",0.0129450384943201,1
"VB","mu","Mean",-0.423384558361643,1
"VB","phi","Mean",0.773178931850994,1
"VB","X[T+1]","Mean",-0.466323569660251,1
"VB","sigma^2","Variance",6.35258458652379e-05,1
"VB","mu","Variance",0.00504563266180484,1
"VB","phi","Variance",0.0149257584787709,1
"VB","X[T+1]","Variance",0.0705699936228208,1
"VB","sigma^2","Mean",0.0129801164626097,2
"VB","mu","Mean",-0.600349520585054,2
"VB","phi","Mean",0.766345673683664,2
"VB","X[T+1]","Mean",-0.573537445530952,2
"VB","sigma^2","Variance",6.27387725392258e-05,2
"VB","mu","Variance",0.00486443950269368,2
"VB","phi","Variance",0.0113799482759102,2
"VB","X[T+1]","Variance",0.0739078384730273,2
"VB","sigma^2","Mean",0.0116045713334431,3
"VB","mu","Mean",-0.52334460097955,3
"VB","phi","Mean",0.756355726080728,3
"VB","X[T+1]","Mean",-0.505778701732477,3
"VB","sigma^2","Variance",4.19077023682096e-05,3
"VB","mu","Variance",0.00466248792807289,3
"VB","phi","Variance",0.0184506317324521,3
"VB","X[T+1]","Variance",0.0617731941928893,3
"VB","sigma^2","Mean",0.0180670185266188,4
"VB","mu","Mean",-0.528064215326609,4
"VB","phi","Mean",0.790497466501038,4
"VB","X[T+1]","Mean",-0.472253772399768,4
"VB","sigma^2","Variance",0.000188804689329631,4
"VB","mu","Variance",0.00543648984510454,4
"VB","phi","Variance",0.00607399197095014,4
"VB","X[T+1]","Variance",0.0927409597867079,4
"VB","sigma^2","Mean",0.0131171912063359,5
"VB","mu","Mean",-0.574258152796952,5
"VB","phi","Mean",0.784085375347967,5
"VB","X[T+1]","Mean",-0.561896501345167,5
"VB","sigma^2","Variance",6.50570048642645e-05,5
"VB","mu","Variance",0.00502020885912303,5
"VB","phi","Variance",0.0123388734575326,5
"VB","X[T+1]","Variance",0.0490642615773337,5
"VB","sigma^2","Mean",0.014050907501475,6
"VB","mu","Mean",-0.477705907612144,6
"VB","phi","Mean",0.839692558137979,6
"VB","X[T+1]","Mean",-0.396130358759952,6
"VB","sigma^2","Variance",8.07679320263158e-05,6
"VB","mu","Variance",0.00584751368578487,6
"VB","phi","Variance",0.00491848487012882,6
"VB","X[T+1]","Variance",0.09631817050382,6
"VB","sigma^2","Mean",0.0110054948270159,7
"VB","mu","Mean",-0.333124047319606,7
"VB","phi","Mean",0.798158169958725,7
"VB","X[T+1]","Mean",-0.336991486545267,7
"VB","sigma^2","Variance",4.30500839991976e-05,7
"VB","mu","Variance",0.00399455357488212,7
"VB","phi","Variance",0.00910202103969006,7
"VB","X[T+1]","Variance",0.0644500258074072,7
"VB","sigma^2","Mean",0.0229827213490815,8
"VB","mu","Mean",-0.443922510677513,8
"VB","phi","Mean",0.840811464964384,8
"VB","X[T+1]","Mean",-0.450249115173291,8
"VB","sigma^2","Variance",0.000273530972727673,8
"VB","mu","Variance",0.00551660150594001,8
"VB","phi","Variance",0.00727542963547332,8
"VB","X[T+1]","Variance",0.135878553002889,8
"VB","sigma^2","Mean",0.0142889378844293,9
"VB","mu","Mean",-0.478643698117676,9
"VB","phi","Mean",0.789986973858994,9
"VB","X[T+1]","Mean",-0.492798200804966,9
"VB","sigma^2","Variance",7.77875563342657e-05,9
"VB","mu","Variance",0.00632386506173638,9
"VB","phi","Variance",0.00970489161040537,9
"VB","X[T+1]","Variance",0.0801407183271647,9
"VB","sigma^2","Mean",0.0123636841698924,10
"VB","mu","Mean",-0.565416613027397,10
"VB","phi","Mean",0.781689045086678,10
"VB","X[T+1]","Mean",-0.552185782395958,10
"VB","sigma^2","Variance",5.91496343015597e-05,10
"VB","mu","Variance",0.00575383609041452,10
"VB","phi","Variance",0.0169027390855409,10
"VB","X[T+1]","Variance",0.070462794015473,10
"VB","sigma^2","Mean",0.0126017973077095,11
"VB","mu","Mean",-0.554429950535338,11
"VB","phi","Mean",0.805068117390782,11
"VB","X[T+1]","Mean",-0.431692961730786,11
"VB","sigma^2","Variance",5.93684404674767e-05,11
"VB","mu","Variance",0.0051263309424439,11
"VB","phi","Variance",0.00865949732811679,11
"VB","X[T+1]","Variance",0.0953724596655965,11
"VB","sigma^2","Mean",0.0115215400049918,12
"VB","mu","Mean",-0.410546732984067,12
"VB","phi","Mean",0.786195401924143,12
"VB","X[T+1]","Mean",-0.434280260838247,12
"VB","sigma^2","Variance",4.37438628404615e-05,12
"VB","mu","Variance",0.00393761421680541,12
"VB","phi","Variance",0.0132557537551022,12
"VB","X[T+1]","Variance",0.0729628599848963,12
"VB","sigma^2","Mean",0.0135149746640769,13
"VB","mu","Mean",-0.517230567870951,13
"VB","phi","Mean",0.782350411883654,13
"VB","X[T+1]","Mean",-0.543166769262126,13
"VB","sigma^2","Variance",7.07557949778795e-05,13
"VB","mu","Variance",0.00452611710508479,13
"VB","phi","Variance",0.0092991856106813,13
"VB","X[T+1]","Variance",0.0734779327632392,13
"VB","sigma^2","Mean",0.0120352381456312,14
"VB","mu","Mean",-0.646424620305167,14
"VB","phi","Mean",0.770648882309004,14
"VB","X[T+1]","Mean",-0.656000744912315,14
"VB","sigma^2","Variance",5.06527847660317e-05,14
"VB","mu","Variance",0.00357323094255355,14
"VB","phi","Variance",0.0133148239399129,14
"VB","X[T+1]","Variance",0.0363669590665964,14
"VB","sigma^2","Mean",0.0172902709194812,15
"VB","mu","Mean",-0.524146500893547,15
"VB","phi","Mean",0.821190041309532,15
"VB","X[T+1]","Mean",-0.571252239701947,15
"VB","sigma^2","Variance",0.00014873030210061,15
"VB","mu","Variance",0.00575765073995823,15
"VB","phi","Variance",0.00815281203046159,15
"VB","X[T+1]","Variance",0.0925189959964915,15
"VB","sigma^2","Mean",0.0109594581875745,16
"VB","mu","Mean",-0.489452042172555,16
"VB","phi","Mean",0.774241987150213,16
"VB","X[T+1]","Mean",-0.507655621617978,16
"VB","sigma^2","Variance",3.86234787698928e-05,16
"VB","mu","Variance",0.00373986737336114,16
